Business Code,Description,Businss Group Code,Description,Profit Center Code,Description,Category Code,Description,Subcategory Code,Descripiton, Brand Code, Description, Brand Variant, Description, Base Pack Code, Description,CBU Code,Description,CBU_Bar_Code,,Flag2,Flag1
FOOD,FOOD,FOODS,FOODS,L,ODF -PC,LL01,Cooking fats & oils,LL01001,CFO,LDAV,Dalda Vanaspati,VLDAV,VDalda Vanaspati,60099,Dalda   1ltr,100001L,DALDA 1LTRCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80009,Annapurna WHEAT Popular [P] 500g,100004E,ANNP WHPOP 500G PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80009,Annapurna WHEAT Popular [P] 500g,100005E,ANNP WHPOP 500G PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80009,Annapurna WHEAT Popular [P] 500g,100006E,ANNP WHPOP 500G PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100007E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100008E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100009E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100010E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100011E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100012E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100013E,ANNP WHPRE 1KG PCP,0,,0,0
FOOD,FOOD,FOODS,FOODS,E,Popular Foods,EE01,Host Food,EE01001,HOST FOOD,EANN,Annapurna Atta,VEANN,VAnnapurna Atta,80030,Annapurna WHEAT Premium Poly 1Kg,100014E,ANNP WHPRE 1KG PCP,0,,0,0
